	gain_betas	lambdas	loss_betas	subject
101	0.625002329348	-2.69926664787	-1.68704794245	101
103	0.473468564494	-3.49114102238	-1.65294552831	103
104	0.947740303403	-2.81866566945	-2.67136305676	104
105	1.5545040079	-1.05536240174	-1.64056508329	105
106	0.647381967368	-2.4913644894	-1.61286444457	106
107	0.674957130888	-1.81087417239	-1.22226243579	107
108	0.284871595466	-2.41849184579	-0.688959630733	108
109	0.978326348137	-4.21837095935	-4.12694345575	109
110	0.813744391529	-1.76194108029	-1.43376967229	110
111	0.505680777788	-2.18921376414	-1.10704331899	111
112	0.219049194562	-5.10838695984	-1.11898804906	112
114	0.477364948203	-3.349557318	-1.59896125561	114
115	0.454030071096	-3.51703993837	-1.59684189327	115
116	0.792082690833	-0.528418256729	-0.418550954675	116
117	0.478484265517	-2.36134871925	-1.12986820756	117
118	0.482221423917	-1.09552112756	-0.528283758062	118
119	0.87968525115	-2.34342452657	-2.0614759932	119
123	0.402077879293	-7.21159290038	-2.89962197971	123
124	0.283195421334	-1.30494424532	-0.369554235372	124
126	0.489996369573	-1.90442055423	-0.933159157711	126
127	0.827764785044	-1.60390268128	-1.3276541582	127
129	0.743875642134	-2.3558418865	-1.75245339608	129
